2026-04-29 15:25:02 | ktp@rezeknesnovads.lv | File: 010451-2026-04-28mail.txt | SenderID: 2 | Status: Skipped: Cooldown/Blocked
2026-04-29 15:25:02 | jelena.platpire@rezeknesnovads.lv | File: 010451-2026-04-28mail.txt | SenderID: 2 | Status: Skipped: Cooldown/Blocked
2026-04-29 15:25:02 | ktp@rezeknesnovads.lv | File: 010451-2026-04-28mail.txt | SenderID: 2 | Status: Skipped: Cooldown/Blocked
2026-04-29 15:25:02 | jelena.platpire@rezeknesnovads.lv | File: 010451-2026-04-28mail.txt | SenderID: 2 | Status: Skipped: Cooldown/Blocked
2026-04-29 15:25:02 | personals@ddzksu.lv | File: 010451-2026-04-28mail.txt | SenderID: 2 | Status: Skipped: Cooldown/Blocked
2026-04-29 15:25:02 | personals@ddzksu.lv | File: 010451-2026-04-28mail.txt | SenderID: 2 | Status: Skipped: Cooldown/Blocked
2026-04-29 15:25:02 | personals@karamuzejs.lv | File: 010451-2026-04-28mail.txt | SenderID: 2 | Status: Skipped: Cooldown/Blocked
2026-04-29 15:25:02 | datuaizsardziba@karamuzejs.lv | File: 010451-2026-04-28mail.txt | SenderID: 2 | Status: Skipped: Cooldown/Blocked
2026-04-29 15:25:02 | iveta.grundmane@karamuzejs.lv | File: 010451-2026-04-28mail.txt | SenderID: 2 | Status: Skipped: Cooldown/Blocked
2026-04-29 15:25:02 | personals@karamuzejs.lv | File: 010451-2026-04-28mail.txt | SenderID: 2 | Status: Skipped: Cooldown/Blocked
2026-04-29 15:25:02 | datuaizsardziba@karamuzejs.lv | File: 010451-2026-04-28mail.txt | SenderID: 2 | Status: Skipped: Cooldown/Blocked
2026-04-29 15:25:02 | iveta.grundmane@karamuzejs.lv | File: 010451-2026-04-28mail.txt | SenderID: 2 | Status: Skipped: Cooldown/Blocked
2026-04-29 15:25:02 | sia.veribl@gmail.com | File: 010451-2026-04-28mail.txt | SenderID: 2 | Status: Skipped: Cooldown/Blocked
2026-04-29 15:25:02 | antanijabaraj@gmail.com | File: 010451-2026-04-28mail.txt | SenderID: 2 | Status: Skipped: Cooldown/Blocked
2026-04-29 15:25:02 | optitransports@inbox.lv | File: 010451-2026-04-28mail.txt | SenderID: 2 | Status: Skipped: Cooldown/Blocked
2026-04-29 15:25:02 | personals@ddzksu.lv | File: 010451-2026-04-28mail.txt | SenderID: 2 | Status: Skipped: Cooldown/Blocked
2026-04-29 15:25:02 | personal@vi.gov.lv | File: 010451-2026-04-28mail.txt | SenderID: 2 | Status: Skipped: Cooldown/Blocked
2026-04-29 15:25:02 | personals@vi.gov.lv | File: 010451-2026-04-28mail.txt | SenderID: 2 | Status: Skipped: Cooldown/Blocked
2026-04-29 15:25:02 | personals@smiltenesnovads.lv | File: 010451-2026-04-28mail.txt | SenderID: 2 | Status: Skipped: Cooldown/Blocked
2026-04-29 15:25:02 | personals@smiltenesnovads.lv | File: 010451-2026-04-28mail.txt | SenderID: 2 | Status: Skipped: Cooldown/Blocked
2026-04-29 15:25:02 | laima.karatajeva@metalekspo.lv | File: 010451-2026-04-28mail.txt | SenderID: 2 | Status: Skipped: Cooldown/Blocked
2026-04-29 15:25:02 | ulvis@hodos.lv | File: 010451-2026-04-28mail.txt | SenderID: 2 | Status: Skipped: Cooldown/Blocked
2026-04-29 15:25:02 | vakances@augsdaugavasnovads.lv | File: 010451-2026-04-28mail.txt | SenderID: 2 | Status: Skipped: Cooldown/Blocked
2026-04-29 15:25:02 | info@allatherm.com | File: 010451-2026-04-28mail.txt | SenderID: 2 | Status: Skipped: Cooldown/Blocked
2026-04-29 15:25:02 | donatas.mishkinis@allatherm.com | File: 010451-2026-04-28mail.txt | SenderID: 2 | Status: Skipped: Cooldown/Blocked
